Ref,Qty,Desc,Mfg,MPN,Digi-Key
C1 C2,2,1µF ±10% 16V Ceramic Capacitor X7R 0805 (2012 Metric),Yageo,CC0805KKX7R7BB105,311-1365-1-ND
H1,1,14 Position Spring Piston Connector Through Hole,Mill-Max,855-22-014-10-001101,855-22-014-10-001101-ND
H2,1,"Connector Header Through Hole 10 position 0.050"" (1.27mm)",CNC Tech,3220-10-0100-00,1175-1627-ND
J1,1,USB - micro B USB 2.0 Receptacle Connector 5 Position Through Hole,GCT,USB3131-30-0230-A,2073-USB3131-30-0230-ACT-ND
U1,1,Linear Voltage Regulator IC 1 Output 800mA SOT-223-4,Texas Instruments,LM1117MPX-3.3/NOPB,LM1117MPX-3.3/NOPBCT-ND
